STOREID,STREET,CITY,PROV,LAT,LONG
101260,285 Rexdale Blvd,Toronto,ON,43.713587,-79.579894
101585,1130 Albion Rd,Toronto,ON,43.73747,-79.56649
100627,"4901 Steeles Ave W, Unit 1",Toronto,ON,43.77094,-79.54344
102959,500 Rexdale Blvd,Toronto,ON,43.715007,-79.594027
103284,116 Queens Plate Dr,Toronto,ON,43.717198,-79.592575
103175,6220 Finch Ave W,Toronto,ON,43.7388,-79.58987
102729,101 Humber College Blvd.,Toronto,ON,43.73053,-79.60057
104153,2687 Kipling Ave.,Toronto,ON,43.75094,-79.585671
104271,205 Humber College Boulevard,Toronto,ON,43.726669,-79.606075
101587,25 Woodbine Downs Rd,Toronto,ON,43.7361,-79.606483
100629,1751 Albion Rd,Toronto,ON,43.74394,-79.60556
103205,6897 Finch Ave. West,Toronto,ON,43.73482,-79.61671
